"Location","Sightings"
"Alaska","22"
"Alabama","102"
"Arkansas","112"
"Arizona","86"
"California","466"
"Colorado","131"
"Connecticut","27"
"Delaware","5"
"Florida","346"
"Georgia","145"
"Iowa","78"
"Idaho","105"
"Illinois","305"
"Indiana","82"
"Kansas","50"
"Kentucky","116"
"Louisiana","45"
"Massachusetts","38"
"Maryland","35"
"Maine","24"
"Michigan","226"
"Minnesota","81"
"Missouri","168"
"Mississippi","27"
"Montana","55"
"North Carolina","109"
"North Dakota","6"
"Nebraska","18"
"New Hampshire","17"
"New Jersey","79"
"New Mexico","44"
"Nevada","9"
"New York","122"
"Ohio","331"
"Oklahoma","113"
"Oregon","261"
"Pennsylvania","130"
"Rhode Island","5"
"South Carolina","60"
"South Dakota","20"
"Tennessee","111"
"Texas","259"
"Utah","74"
"Virginia","89"
"Vermont","11"
"Washington","730"
"Wisconsin","109"
"West Virginia","106"
"Wyoming","28"
"Alberta","43"
"British Columbia","135"
"Manitoba","31"
"New Brunswick","8"
"Nova Scotia","3"
"Ontario","68"
"Quebec","4"
"Saskatchewan","7"
"Yukon","5"
"Australia","1"
"China","11"
"Indonesia","3"
"Malaysia","36"
"Himalayan Region","10"
"Russia","5"
"Other Countries & Regions","6"
