"Drunk_Rank","State"
1,"Wisconsin"
2,"North Dakota"
3,"Iowa"
4,"Nebraska"
5,"Minnesota"
6,"Illinois"
7,"Massachusetts"
8,"Alaska"
9,"Hawaii"
10,"Montana"
11,"New Hampshire"
12,"Colorado"
13,"Maine"
14,"Ohio"
15,"Wyoming"
16,"Missouri"
17,"Rhode Island"
18,"Michigan"
19,"Louisiana"
20,"Texas"
21,"Vermont"
22,"Nevada"
23,"California"
24,"Pennsylvania"
25,"South Dakota"
26,"New York"
27,"Kansas"
28,"Oregon"
29,"New Jersey"
30,"Indiana"
31,"Washington"
32,"Virginia"
33,"South Carolina"
34,"Kentucky"
35,"Florida"
36,"Connecticut"
37,"North Carolina"
38,"Delaware"
39,"Arizona"
40,"Maryland"
41,"Idaho"
42,"New Mexico"
43,"Arkansas"
44,"Georgia"
45,"Tennessee"
46,"Oklahoma"
47,"Alabama"
48,"Mississippi"
49,"West Virginia"
50,"Utah"
